date,time,code,open,high,low,close,volume,amount,adjustflag
2025-01-02,20250102093500000,sh.600000,10.3000,10.4200,10.3000,10.3900,4080400,42344420.0000,3
2025-01-02,20250102094000000,sh.600000,10.4000,10.4000,10.3100,10.3200,1874600,19380712.0000,3
2025-01-02,20250102094500000,sh.600000,10.3200,10.3700,10.2800,10.3200,3579700,36943900.0000,3
2025-01-02,20250102095000000,sh.600000,10.3200,10.3400,10.2800,10.2800,2135200,22012048.0000,3
2025-01-02,20250102095500000,sh.600000,10.2700,10.2900,10.2400,10.2800,3865200,39679544.0000,3
2025-01-02,20250102100000000,sh.600000,10.2900,10.3100,10.2500,10.2800,1903700,19572960.0000,3
2025-01-02,20250102100500000,sh.600000,10.2800,10.3000,10.2500,10.2500,2178400,22376112.0000,3
2025-01-02,20250102101000000,sh.600000,10.2600,10.2600,10.2000,10.2500,2498000,25531664.0000,3
2025-01-02,20250102101500000,sh.600000,10.2500,10.2600,10.1500,10.1500,2769000,28215808.0000,3
2025-01-02,20250102102000000,sh.600000,10.1500,10.1600,10.1100,10.1200,4026100,40821520.0000,3
2025-01-02,20250102102500000,sh.600000,10.1200,10.1800,10.1000,10.1800,2824700,28621440.0000,3
2025-01-02,20250102103000000,sh.600000,10.1700,10.1900,10.1500,10.1700,883900,8988864.0000,3
2025-01-02,20250102103500000,sh.600000,10.1600,10.2200,10.1500,10.2100,1584300,16125760.0000,3
2025-01-02,20250102104000000,sh.600000,10.2100,10.2200,10.2000,10.2100,1242000,12679296.0000,3
2025-01-02,20250102104500000,sh.600000,10.2100,10.2100,10.1800,10.1900,781200,7963424.0000,3
2025-01-02,20250102105000000,sh.600000,10.2000,10.2200,10.1700,10.2100,478600,4880160.0000,3
2025-01-02,20250102105500000,sh.600000,10.2100,10.2300,10.2000,10.2100,540400,5518848.0000,3
2025-01-02,20250102110000000,sh.600000,10.2200,10.2400,10.2200,10.2300,694500,7104448.0000,3
2025-01-02,20250102110500000,sh.600000,10.2300,10.2500,10.2300,10.2500,480200,4916128.0000,3
2025-01-02,20250102111000000,sh.600000,10.2500,10.2600,10.2300,10.2600,598600,6133920.0000,3
2025-01-02,20250102111500000,sh.600000,10.2600,10.2700,10.2200,10.2300,893400,9156896.0000,3
2025-01-02,20250102112000000,sh.600000,10.2300,10.2500,10.2200,10.2200,685700,7011424.0000,3
2025-01-02,20250102112500000,sh.600000,10.2200,10.2300,10.2200,10.2300,329100,3364800.0000,3
